FIPS,AMT
?????,1.99
36001,34194105.92
36003,34194105.92
36005,34194105.92
36007,34194105.92
36009,34194105.92
36011,34194105.92
36013,34194105.92
36015,34194105.92
36017,29919842.68
36019,29919843.68
36021,29919844.68
36025,29919845.68
36027,29919846.68
36029,29919847.68
36031,29919848.68
36033,29919849.68
36035,29919850.68
36037,29919851.68
36039,25645579.44
36041,25645580.44
36043,25645581.44
36045,25645582.44
36047,25645583.44
36051,25645584.44
36053,25645585.44
36055,25645586.44
36057,25645587.44
36059,25645588.44
36061,34194105.92
36063,29216.31
36065,6000
36067,286007.35
36069,53355.47
36071,167394.76
36073,23300
36075,16300
36077,9540.32
36079,8370.16
36081,1580680.24
36083,352486.97
36085,182045.8
36087,96028.18
36089,32265.28
36091,94919.42
36093,16615
36095,2000
36097,1050
36099,14900
36101,2000
36103,12240183.21
36105,19162.92
36107,14014.71
36109,58642.9
36111,107676.24
36113,8650
36117,122822.42
36119,19622885.34
36121,11890
36123,133300
